,base_extinct_level,baseline_connectence,baseline_n_plant,baseline_n_pollinators,connectence,degree,total_plants_in_base_extinctions,total_plants_in_base_extinctions_diploid,total_plants_in_base_extinctions_polyploid,total_plants_in_base_extinctions_unknown,total_plants_in_primary_extinctions,total_plants_in_primary_extinctions_diploid,total_plants_in_primary_extinctions_polyploid,total_plants_in_primary_extinctions_unknown,total_plants_prior_extinction,total_plants_prior_extinction_diploid,total_plants_prior_extinction_polyploid,total_plants_prior_extinction_unknown,total_pollinator_in_base_extinctions,total_pollinator_in_primary_extinctions,total_pollinators_prior_extinction
0,Plant,0.28571271586419855,14.0,13.0,0.28571271586419855,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,3.0,3.0,8.0,0.0,3.0,13.0
1,Pollinator,0.28571271586419855,14.0,13.0,0.28993911278631485,1.0,0.0,0.0,0.0,0.0,11.0,3.0,3.0,5.0,13.0,3.0,3.0,7.0,3.0,0.0,13.0
2,Plant,0.28571271586419855,14.0,13.0,0.2666644444629628,2.0,10.0,2.0,3.0,5.0,0.0,0.0,0.0,0.0,12.0,2.0,3.0,7.0,0.0,5.0,10.0
3,Pollinator,0.28571271586419855,14.0,13.0,0.5999400059994001,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,5.0
