,base_extinct_level,baseline_connectence,baseline_n_plant,baseline_n_pollinators,connectence,degree,total_plants_in_base_extinctions,total_plants_in_base_extinctions_diploid,total_plants_in_base_extinctions_polyploid,total_plants_in_base_extinctions_unknown,total_plants_in_primary_extinctions,total_plants_in_primary_extinctions_diploid,total_plants_in_primary_extinctions_polyploid,total_plants_in_primary_extinctions_unknown,total_plants_prior_extinction,total_plants_prior_extinction_diploid,total_plants_prior_extinction_polyploid,total_plants_prior_extinction_unknown,total_pollinator_in_base_extinctions,total_pollinator_in_primary_extinctions,total_pollinators_prior_extinction
0,Plant,0.12307094017324838,32.0,81.0,0.12307094017324838,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,10.0,6.0,16.0,0.0,9.0,81.0
1,Pollinator,0.12307094017324838,32.0,81.0,0.12406942759742447,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,31.0,9.0,6.0,16.0,6.0,0.0,78.0
2,Plant,0.12307094017324838,32.0,81.0,0.12916660686731163,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,9.0,6.0,15.0,0.0,0.0,72.0
