,base_extinct_level,baseline_connectence,baseline_n_plant,baseline_n_pollinators,connectence,degree,total_plants_in_base_extinctions,total_plants_in_base_extinctions_diploid,total_plants_in_base_extinctions_polyploid,total_plants_in_base_extinctions_unknown,total_plants_in_primary_extinctions,total_plants_in_primary_extinctions_diploid,total_plants_in_primary_extinctions_polyploid,total_plants_in_primary_extinctions_unknown,total_plants_prior_extinction,total_plants_prior_extinction_diploid,total_plants_prior_extinction_polyploid,total_plants_prior_extinction_unknown,total_pollinator_in_base_extinctions,total_pollinator_in_primary_extinctions,total_pollinators_prior_extinction
0,Plant,0.13636286157465013,11.0,16.0,0.13636286157465013,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,3.0,2.0,6.0,0.0,6.0,16.0
1,Pollinator,0.13636286157465013,11.0,16.0,0.13846047338097398,1.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,2.0,10.0,3.0,2.0,5.0,3.0,0.0,13.0
2,Plant,0.13636286157465013,11.0,16.0,0.1714261224839645,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,2.0,1.0,4.0,0.0,5.0,10.0
3,Pollinator,0.13636286157465013,11.0,16.0,0.19999428587754636,3.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,5.0,2.0,0.0,3.0,2.0,0.0,7.0
4,Plant,0.13636286157465013,11.0,16.0,0.33331111259249385,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,5.0
