,base_extinct_level,baseline_connectence,baseline_n_plant,baseline_n_pollinators,connectence,degree,total_plants_in_base_extinctions,total_plants_in_base_extinctions_diploid,total_plants_in_base_extinctions_polyploid,total_plants_in_base_extinctions_unknown,total_plants_in_primary_extinctions,total_plants_in_primary_extinctions_diploid,total_plants_in_primary_extinctions_polyploid,total_plants_in_primary_extinctions_unknown,total_plants_prior_extinction,total_plants_prior_extinction_diploid,total_plants_prior_extinction_polyploid,total_plants_prior_extinction_unknown,total_pollinator_in_base_extinctions,total_pollinator_in_primary_extinctions,total_pollinators_prior_extinction
0,Plant,0.14335614211139122,11.0,26.0,0.14335614211139122,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,2.0,8.0,0.0,7.0,26.0
1,Pollinator,0.14335614211139122,11.0,26.0,0.15454475206930876,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,10.0,1.0,1.0,8.0,3.0,0.0,22.0
2,Plant,0.14335614211139122,11.0,26.0,0.16374173250448829,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,9.0,1.0,1.0,7.0,0.0,1.0,19.0
3,Pollinator,0.14335614211139122,11.0,26.0,0.1984111237212403,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,6.0,0.0,0.0,18.0
