,base_extinct_level,baseline_connectence,baseline_n_plant,baseline_n_pollinators,connectence,degree,total_plants_in_base_extinctions,total_plants_in_base_extinctions_diploid,total_plants_in_base_extinctions_polyploid,total_plants_in_base_extinctions_unknown,total_plants_in_primary_extinctions,total_plants_in_primary_extinctions_diploid,total_plants_in_primary_extinctions_polyploid,total_plants_in_primary_extinctions_unknown,total_plants_prior_extinction,total_plants_prior_extinction_diploid,total_plants_prior_extinction_polyploid,total_plants_prior_extinction_unknown,total_pollinator_in_base_extinctions,total_pollinator_in_primary_extinctions,total_pollinators_prior_extinction
0,Plant,0.13768066057731676,12.0,23.0,0.13768066057731676,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,3.0,5.0,4.0,0.0,4.0,23.0
1,Pollinator,0.13768066057731676,12.0,23.0,0.14999931818491735,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,11.0,3.0,5.0,3.0,1.0,0.0,20.0
2,Plant,0.13768066057731676,12.0,23.0,0.16842016620965153,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,5.0,3.0,0.0,0.0,19.0
