,base_extinct_level,baseline_connectence,baseline_n_plant,baseline_n_pollinators,connectence,degree,total_plants_in_base_extinctions,total_plants_in_base_extinctions_diploid,total_plants_in_base_extinctions_polyploid,total_plants_in_base_extinctions_unknown,total_plants_in_primary_extinctions,total_plants_in_primary_extinctions_diploid,total_plants_in_primary_extinctions_polyploid,total_plants_in_primary_extinctions_unknown,total_plants_prior_extinction,total_plants_prior_extinction_diploid,total_plants_prior_extinction_polyploid,total_plants_prior_extinction_unknown,total_pollinator_in_base_extinctions,total_pollinator_in_primary_extinctions,total_pollinators_prior_extinction
0,Plant,0.20436467387961532,9.0,56.0,0.20436467387961532,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,9.0,0.0,34.0,56.0
1,Pollinator,0.20436467387961532,9.0,56.0,0.21794801939737374,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,8.0,0.0,0.0,8.0,17.0,0.0,39.0
2,Plant,0.20436467387961532,9.0,56.0,0.18181700118830396,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,22.0
