,plant_name,Aglais urticae,Apis mellifera,Bombus lapidarius,Bombus muscorum,Bombus pascuorum,Bombus terrestris,Chrysotoxum bicinctum,Coleoptera sp1 M_PL_017,Coleoptera sp2 M_PL_017,Coleoptera sp3 M_PL_017,Coleoptera sp4 M_PL_017,Coleoptera sp5 M_PL_017,Coleoptera sp6 M_PL_017,Coleoptera sp7 M_PL_017,Diptera sp10 M_PL_017,Diptera sp11 M_PL_017,Diptera sp12 M_PL_017,Diptera sp13 M_PL_017,Diptera sp15 M_PL_017,Diptera sp16 M_PL_017,Diptera sp17 M_PL_017,Diptera sp18 M_PL_017,Diptera sp19 M_PL_017,Diptera sp20 M_PL_017,Diptera sp21 M_PL_017,Diptera sp22 M_PL_017,Diptera sp23 M_PL_017,Diptera sp24 M_PL_017,Diptera sp25 M_PL_017,Diptera sp26 M_PL_017,Diptera sp27 M_PL_017,Diptera sp28 M_PL_017,Diptera sp29 M_PL_017,Diptera sp30 M_PL_017,Diptera sp31 M_PL_017,Diptera sp32 M_PL_017,Diptera sp33 M_PL_017,Diptera sp34 M_PL_017,Diptera sp35 M_PL_017,Diptera sp37 M_PL_017,Diptera sp38 M_PL_017,Episyrphus arbustorum,Episyrphus balteatus,Eriothrix rufomaculata,Eristalis pertinax,Eristalis tenax,Helophilus pendulus,Helophilus trivittatus,Hymenoptera sp39 M_PL_017,Hymenoptera sp41 M_PL_017,Hymenoptera sp42 M_PL_017,Maniola jurtina,Melanostoma mellinum,Melanostoma scalare,Meliscaeva auricollis ,Metasyrphus corollae,Pieris brassicae,Platycheirus albimanus,Platycheirus clypeatus,Platycheirus scutatus,Polyommatus icarus ,Psithyrus sp1 M_PL_017,Pyonia tithonus,Rhingia campestris,Scaeva pyrastri,Scatophaga stercoraria,Sphaerophoria scripta,Symphyta sp1 M_PL_017,Syritta pipiens,Syrphus ribesii,Syrphus vitripennis.,Thymelicus sylvestris,Unidentified sp14 M_PL_017,Unidentified sp36 M_PL_017,Unidentified sp40 M_PL_017,Unidentified sp43 M_PL_017,Unidentified sp8 M_PL_017,Unidentified sp9 M_PL_017,Xanthogramma pedissequum,is_exotic
12,knautia arvensis,1,0,0,1,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,3,2,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,3,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,False
13,lathyrus pratensis,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
14,leontodon autumnalis,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,20,0,0,0,0,0,1,0,1,0,1,0,0,0,0,7,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,16,0,1,0,0,0,0,0,0,0,0,0,0,False
15,leontodon hispidus,2,0,0,0,0,0,0,1,4,1,1,1,0,2,0,0,1,0,2,0,1,0,0,1,0,2,0,0,0,0,1,2,0,0,1,139,15,0,0,0,1,8,35,19,1,11,5,0,2,0,58,0,0,2,0,0,0,2,0,0,0,0,0,1,0,1,101,2,6,0,0,0,0,0,0,3,0,0,0,False
16,leontodon saxatilis,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,False
17,linum catharticum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,1,0,0,0,0,0,0,0,0,0,0,False
18,lotus corniculatus,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
19,medicago lupulina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,False
20,plantago major,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
21,rubus fruticosus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,False
22,senecio jacobea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,False
23,torilis japonica,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,3,0,4,0,0,0,22,0,0,1,0,0,0,0,0,33,43,0,0,0,0,0,0,36,27,1,0,1,0,6,1,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,3,8,6,0,2,0,1,0,2,0,5,0,0,False
24,trifolium pratense,0,0,1,9,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,2,0,False
