,plant_name,Acamptocladius submontanus,Aclastus sp1 M_PL_009,Aclastus sp2 M_PL_009,Alliopsis glacialis,Allophorocera lapponica ,Alysiinae sp1 M_PL_009,Alysiinae sp2 M_PL_009,Alysiinae sp3 M_PL_009,Alysiinae sp4 M_PL_009,Alysiinae sp5 M_PL_009,Anarta sp1 M_PL_009,Anthomyiidae sp1 M_PL_009,Anthomyiidae sp2 M_PL_009,Anthomyiidae sp3 M_PL_009,Arpedium sp1 M_PL_009,Bellardia pubicornis,Boletina sp1 M_PL_009,Bombus alpinus,Bombus hyperboreus,Botanophila bidens,Bradysia giraudi,Bradysia sp1 M_PL_009,Bradysia sp2 M_PL_009,Bradysia sp3 M_PL_009,Chamaepsila morio,Chloropinae sp1 M_PL_009,Cidaria sp1 M_PL_009,Coenosia atritibia,Coenosia octopunctata,Corynoneura scutellata,Corynoptera refrigerata,Corynoptera sp1 M_PL_009,Corynoptera sp2 M_PL_009,Cotesia sp1 M_PL_009,Dasineura sp1 M_PL_009,Delia piliventris,Dolichopus plumipes,Egle minuta,Egle parva,Egle sp1 M_PL_009,Empis lucida,Fannia mollissima,Gimnomera dorsala,Heterotrissocladius subpilosus,Ichneumonidae sp1 M_PL_009,Ichneumonidae sp2 M_PL_009,Ichneumonidae sp3 M_PL_009,Ichneumonidae sp4 M_PL_009,Limnophilus sp1 M_PL_009,Limnophyes brachytomus,Limnophyes natalensis,Limnophyes ninae ,Limnophyes schnelli ,Lycoriella curvispina ,Lycoriella freyi,Lycoriella sp1 M_PL_009,Lycoriella sp2 M_PL_009,Megaselia cirriventris,Megaselia coei ,Megaselia digitalis,Megaselia diversa ,Megaselia giraudii,Megaselia groenlandica ,Megaselia pleuralis,Megaselia sordida,Megaselia sp1 M_PL_009,Micropsectra radialis,Micropsectra sp1 M_PL_009,Micropsectra sp2 M_PL_009,Mycomya fuscata,Noctuidae sp1 M_PL_009,Oliveridia tricornis ,Orthocentrinae sp1 M_PL_009,Paradelia sp1 M_PL_009,Parapiophila vulgaris,Pegomya haemorrhoum,Pegomya sp1 M_PL_009,Pegoplata aestiva,Phaonia alpicola,Phaonia lugubris,Phaonia subfuscinervis,Phygadeuon sp1 M_PL_009,Phyllolabis macroura,Phytomyza aquilonia,Platygaster sp1 M_PL_009,Platypalpus nigritarsis,Podabrus sp1 M_PL_009,Porizontini sp1 M_PL_009,Pseudosmittia oxoniana ,Pteromalidae sp1 M_PL_009,Pteromalidae sp2 M_PL_009,Rhamphomyia aethiops,Rhamphomyia morio,Rhamphomyia obscuripennis,Rhamphomyia reflexa,Rhaphium crassipes,Smittia betuletorum ,Smittia cf. aterrima,Smittia sp1 M_PL_009,Smittia sp2 M_PL_009,Spilagona nitidicauda,Spilogona alpica,Spilogona megastoma,Spilogona triangulifera,Stenomacrus sp1 M_PL_009,Tetrastichinae sp1 M_PL_009,Thricops cunctans,Thricops furcatus,Thricops hirtulus,Thricops nigritellus,Thricops rostratus,Trichosia truncata ,Urbicola sp1 M_PL_009,Xestommaster sp1 M_PL_009,Zaphne barbiventris,Zaphne frontata,Zaphne sp1 M_PL_009,Zaphne sp2 M_PL_009,is_exotic
10,pinguicula alpina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
11,polygonum viviparum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,False
12,potentilla crantzii,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,False
13,rhodiola rosea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,False
14,rhododendron lapponicum,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
15,salix lanata,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,False
16,salix polaris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,False
17,salix reticulata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
18,saxifraga aizoides,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,False
19,saxifraga oppositifolia,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False
20,silene acaulis,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,False
21,taraxacum officinale,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False
22,trollius europaeus,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False
23,viola biflora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
