orig_path,species,family
/networks/literature/weighted/10.1111_oik.07303_processed_23.csv,draba_aurea,NA
/networks/literature/weighted/10.1111_oik.07303_processed_23.csv,campanula_rotundifolia,NA
/networks/literature/weighted/10.1111_oik.07303_processed_23.csv,hydrophyllum_capitatum,NA
/networks/literature/weighted/10.1111_oik.07303_processed_23.csv,phacelia_heterophylla,NA
/networks/literature/weighted/10.1111_oik.07303_processed_23.csv,senecio_serra,NA
/networks/literature/weighted/10.1111_oik.07303_processed_23.csv,NA,NA
/networks/literature/weighted/10.1111_oik.07303_processed_23.csv,solidago_multiradiata,NA
/networks/literature/weighted/10.1111_oik.07303_processed_23.csv,vicia_americana,NA
/networks/literature/weighted/10.1111_oik.07303_processed_23.csv,eriogonum_subalpinum,NA
/networks/literature/weighted/10.1111_oik.07303_processed_23.csv,potentilla_gracilis,NA
/networks/literature/weighted/10.1111_oik.07303_processed_23.csv,viola_praemorsa,NA
/networks/literature/weighted/10.1111_oik.07303_processed_23.csv,mahonia_repens,NA
/networks/literature/weighted/10.1111_oik.07303_processed_23.csv,ipomopsis_aggregata,NA
/networks/literature/weighted/10.1111_oik.07303_processed_22.csv,NA,NA
/networks/literature/weighted/10.1111_oik.07303_processed_22.csv,NA,NA
/networks/literature/weighted/10.1111_oik.07303_processed_22.csv,NA,NA
/networks/literature/weighted/10.1111_oik.07303_processed_22.csv,NA,NA
/networks/literature/weighted/10.1111_oik.07303_processed_22.csv,NA,NA
/networks/literature/weighted/10.1111_oik.07303_processed_22.csv,NA,NA
/networks/literature/weighted/10.1111_oik.07303_processed_22.csv,NA,NA
/networks/literature/weighted/10.1111_oik.07303_processed_22.csv,NA,NA
/networks/literature/weighted/10.1111_oik.07303_processed_22.csv,NA,NA
/networks/literature/weighted/10.1111_oik.07303_processed_22.csv,NA,NA
/networks/literature/weighted/10.1111_oik.07303_processed_22.csv,NA,NA
/networks/literature/weighted/10.1111_oik.07303_processed_22.csv,NA,NA
/networks/literature/weighted/10.1111_oik.07303_processed_22.csv,NA,NA
/networks/literature/weighted/10.1111_oik.07303_processed_22.csv,NA,NA
/networks/literature/weighted/10.1111_oik.07303_processed_22.csv,NA,NA
/networks/literature/weighted/10.1111_oik.07303_processed_22.csv,NA,NA
/networks/literature/weighted/10.1111_oik.07303_processed_22.csv,NA,NA
/networks/literature/weighted/10.1111_oik.07303_processed_22.csv,NA,NA
/networks/literature/weighted/10.1111_oik.07303_processed_22.csv,NA,NA
/networks/literature/weighted/10.1111_oik.07303_processed_22.csv,NA,NA
/networks/literature/weighted/10.1111_oik.07303_processed_22.csv,NA,NA
/networks/literature/weighted/10.1111_oik.07303_processed_22.csv,NA,NA
/networks/literature/weighted/10.1111_oik.07303_processed_22.csv,NA,NA
/networks/literature/weighted/10.1111_oik.07303_processed_22.csv,NA,NA
/networks/literature/weighted/10.1111_oik.07303_processed_22.csv,NA,NA
/networks/literature/weighted/10.1111_oik.07303_processed_22.csv,NA,NA
/networks/literature/weighted/10.1111_oik.07303_processed_22.csv,NA,NA
/networks/literature/weighted/10.1111_oik.07303_processed_22.csv,NA,NA
/networks/web_of_life/weighted/M_PL_050.csv,NA,NA
/networks/web_of_life/weighted/M_PL_053.csv,NA,NA
/networks/web_of_life/weighted/M_PL_053.csv,NA,NA
/networks/web_of_life/weighted/M_PL_053.csv,NA,NA
/networks/web_of_life/weighted/M_PL_053.csv,NA,NA
/networks/web_of_life/weighted/M_PL_053.csv,NA,NA
/networks/web_of_life/weighted/M_PL_053.csv,NA,NA
/networks/web_of_life/weighted/M_PL_053.csv,NA,NA
/networks/web_of_life/weighted/M_PL_053.csv,NA,NA
/networks/web_of_life/weighted/M_PL_053.csv,NA,NA
/networks/web_of_life/weighted/M_PL_047.csv,NA,NA
/networks/web_of_life/weighted/M_PL_047.csv,NA,NA
/networks/web_of_life/weighted/M_PL_046.csv,NA,NA
/networks/web_of_life/weighted/M_PL_052.csv,NA,NA
/networks/web_of_life/weighted/M_PL_052.csv,NA,NA
/networks/web_of_life/weighted/M_PL_043.csv,NA,NA
/networks/web_of_life/weighted/M_PL_027.csv,NA,NA
/networks/web_of_life/weighted/M_PL_027.csv,NA,NA
/networks/web_of_life/weighted/M_PL_027.csv,NA,NA
/networks/web_of_life/weighted/M_PL_027.csv,NA,NA
/networks/web_of_life/weighted/M_PL_072_06.csv,achyrocline satureoides,NA
/networks/web_of_life/weighted/M_PL_072_06.csv,NA,NA
/networks/web_of_life/weighted/M_PL_072_06.csv,NA,NA
/networks/web_of_life/weighted/M_PL_072_07.csv,NA,NA
/networks/web_of_life/weighted/M_PL_072_07.csv,NA,NA
/networks/web_of_life/weighted/M_PL_026.csv,NA,NA
/networks/web_of_life/weighted/M_PL_026.csv,NA,NA
/networks/web_of_life/weighted/M_PL_026.csv,NA,NA
/networks/web_of_life/weighted/M_PL_026.csv,NA,NA
/networks/web_of_life/weighted/M_PL_026.csv,NA,NA
/networks/web_of_life/weighted/M_PL_018.csv,NA,NA
/networks/web_of_life/weighted/M_PL_030.csv,NA,NA
/networks/web_of_life/weighted/M_PL_072_05.csv,NA,NA
/networks/web_of_life/weighted/M_PL_072_05.csv,NA,NA
/networks/web_of_life/weighted/M_PL_072_05.csv,NA,NA
/networks/web_of_life/weighted/M_PL_072_05.csv,NA,NA
/networks/web_of_life/weighted/M_PL_072_04.csv,NA,NA
/networks/web_of_life/weighted/M_PL_035.csv,NA,NA
/networks/web_of_life/weighted/M_PL_035.csv,NA,NA
/networks/web_of_life/weighted/M_PL_035.csv,NA,NA
/networks/web_of_life/weighted/M_PL_021.csv,NA,NA
/networks/web_of_life/weighted/M_PL_021.csv,NA,NA
/networks/web_of_life/weighted/M_PL_021.csv,NA,NA
/networks/web_of_life/weighted/M_PL_072_01.csv,NA,NA
/networks/web_of_life/weighted/M_PL_072_01.csv,NA,NA
/networks/web_of_life/weighted/M_PL_072_01.csv,NA,NA
/networks/web_of_life/weighted/M_PL_072_01.csv,NA,NA
/networks/web_of_life/weighted/M_PL_008.csv,NA,NA
/networks/web_of_life/weighted/M_PL_020.csv,NA,NA
/networks/web_of_life/weighted/M_PL_036.csv,NA,NA
/networks/web_of_life/weighted/M_PL_072_03.csv,NA,NA
/networks/web_of_life/weighted/M_PL_072_03.csv,NA,NA
/networks/web_of_life/weighted/M_PL_072_03.csv,NA,NA
/networks/web_of_life/weighted/M_PL_072_03.csv,NA,NA
/networks/web_of_life/weighted/M_PL_072_03.csv,NA,NA
